xetdata/xethub.git  Python and npm Dependencies,,
urllib3,2.2.1,MIT
vue,2.7.14,MIT
vue-axios,3.5.2,MIT
vue-bar-graph,1.3.1,MIT
vue-calendar-heatmap,0.8.4,MIT
vue-loader,15.9.8,MIT
vue-template-compiler,2.7.14,MIT
wcwidth,0.2.13,MIT
webcolors,24.6.0,BSD-3-Clause
webencodings,0.5.1,BSD-3-Clause
webpack,5.72.1,MIT
webpack-cli,4.9.2,MIT
websocket-client,1.8.0,Apache-2.0
widgetsnbextension,4.0.11,BSD-3-Clause
workbox-routing,6.5.3,MIT
workbox-strategies,6.5.3,MIT
worker-loader,3.0.8,MIT
wrap-ansi,8.0.1,MIT
yjs,13.6.18,MIT
zipp,3.19.2,MIT
